"";"Res.no";"Agr..no";"Driver.ID";"Days";"Agent.group";"Driver.Country_Disp";"Driver.Age";"Pre.paid.Amount";"First.Licence.Year";"Check.out.Date";"Check.out.Time";"Booking.Date";"Booking.Time";"AD";"B";"BC";"BE";"BF";"BO";"BR";"BS";"CS";"DI";"FDW";"LD";"NV";"PAI";"SC";"SS";"SUB";"TF";"TG";"UPS";"Upgra";"C.O.Mileage";"Check.out.Station";"Group";"Charged.group";"Internet.Insurance.Net.Revenue";"Internet.Non.Insurance.Net.Revenue";"Rental_Cost_Res";"Sales.Channel.2";"Segment";"Past.Rentals.Entry";"Manufacturer";"Color";"Rate.title";"Status";"OnDesk.Insurance.Net.Revenue";"OnDesk.Non.Insurance.Net.Revenue"
"53731";"RES-388510";"SM503-8660";478211;7;"Sixt";"Sweden";"29";"0.00";"2021";"5/9/2022";14;"29/8/2022";8;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;"33857";"503";"CDMR";"CCMR";"36.68";"0.00";"291.60";"Retail-Sixt-Sixt";"Retail";0;"Skoda";"Red";"Sixt Import Rates";"IN";"119.50";"0.00"
"3364";"RES-312968";"NULL";274412;2;"Sixt";"Blank";"NULL";"0.00";"NULL";"14/7/2022";10;"26/1/2022";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"302";"MDMR";"MDMR";"0.00";"0.00";"138.11";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"54646";"RES-378447";"SM712-18672";466810;4;"Sixt";"Germany";"34";"0.00";"2019";"30/8/2022";10;"6/8/2022";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"24493";"712";"MDMR";"MDMR";"38.28";"0.00";"202.34";"Retail-Sixt-Sixt";"Retail";0;"Peugeot";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"20814";"RES-356354";"NULL";442694;3;"Sixt";"Germany";"NULL";"249.05";"NULL";"4/7/2022";16;"17/6/2022";16;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;"NULL";"503";"CCMR";"CCMR";"0.00";"0.00";"200.85";"Corporate-Sixt-Sixt";"Corporate";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"25131";"RES-360126";"NULL";429343;4;"Sixt";"Blank";"NULL";"0.00";"NULL";"14/7/2022";21;"26/6/2022";9;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;"NULL";"2";"JFAR";"JFAR";"62.32";"29.04";"726.88";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"33978";"RES-370764";"NULL";458175;3;"Sixt";"Blank";"NULL";"0.00";"NULL";"19/7/2022";16;"18/7/2022";13;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"701";"MDMR";"MDMR";"28.71";"0.00";"241.28";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"35872";"RES-367667";"SM002-79340";454754;4;"Online Broker";"Croatia";"57";"237.04";"2022";"18/7/2022";16;"11/7/2022";16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"4735";"2";"IFAR";"CCMR";"0.00";"0.00";"191.16";"Retail Brokers Sixt";"Retail";0;"VW";"Blue";"Sixt Import Rates";"IN";"0.00";"120.00"
"1300";"RES-363079";"SM312-17604";135724;3;"Travel Corporate Agencies";"Greece";"48";"211.35";"2017";"12/7/2022";9;"2/7/2022";15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"68081";"312";"CXMR";"CXMR";"0.00";"0.00";"170.44";"Retail-Call center-Call center";"Retail";3;"Audi";"Grey";"NOVARTIS";"IN";"0.00";"0.00"
"20920";"RES-344524";"SM302-39866";430437;7;"Sixt";"France";"27";"0.00";"2019";"6/9/2022";23;"25/5/2022";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"71143";"302";"EDMR";"EDMR";"0.00";"0.00";"241.30";"Retail-Sixt-Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"37139";"RES-352842";"SM503-5277";438848;8;"Sixt";"Germany";"55";"0.00";"2019";"13/6/2022";13;"9/6/2022";20;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"64417";"503";"MDMR";"MDMR";"28.40";"0.00";"234.47";"Retail Brokers Sixt";"Retail";0;"Skoda";"Red";"Sixt Import Rates";"IN";"0.00";"0.00"
"49495";"RES-372769";"SM002-79926";460327;5;"Sixt";"Jordan";"34";"0.00";"2017";"24/7/2022";14;"22/7/2022";23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"57331";"2";"CTAR";"CTAR";"0.00";"0.00";"671.00";"Retail-Sixt-Sixt";"Retail";0;"Audi";"White";"Sixt Import Rates";"IN";"177.14";"0.00"
"47803";"RES-382908";"SM302-39148";471945;7;"Sixt";"Austria";"29";"0.00";"2019";"26/8/2022";15;"16/8/2022";12;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;"38514";"302";"CXMR";"CXMR";"0.00";"50.82";"521.59";"Retail-Sixt-Sixt";"Retail";0;"Audi";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"2747";"RES-341433";"SM002-75066";140790;9;"Sixt";"Germany";"45";"0.00";"2019";"4/6/2022";17;"24/5/2022";10;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"55039";"2";"JFAR";"JFAR";"114.84";"32.67";"954.10";"Retail-Sixt-Sixt";"Retail";6;"MINI";"Grey";"Sixt Import Rates";"IN";"55.89";"0.00"
"52304";"RES-376348";"SM802-10324";464462;7;"Sixt";"Italy";"63";"0.00";"2022";"28/8/2022";0;"1/8/2022";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"564";"802";"CDMR";"CDMR";"0.00";"0.00";"303.81";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"Grey";"Sixt Import Rates";"IN";"85.95";"109.13"
"48140";"RES-377646";"SM609-13848";465887;5;"Online Broker";"France";"36";"398.08";"2018";"4/8/2022";11;"4/8/2022";6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"31910";"609";"MDMR";"MDMR";"0.00";"0.00";"321.03";"Retail Brokers Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"65.60";"0.00"
"3871";"RES-360084";"SM609-12793";207294;7;"Sixt";"United States of America";"47";"0.00";"2022";"2/7/2022";9;"26/6/2022";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"889";"609";"MTMR";"MTMR";"0.00";"0.00";"416.25";"Retail Brokers Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"86.37";"15.18"
"35846";"RES-367873";"SM312-17847";454970;7;"NULL";"United Kingdom";"60";"374.62";"2022";"18/7/2022";17;"11/7/2022";23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"2605";"312";"CDMR";"CDMR";"0.00";"0.00";"302.11";"Retail Brokers Sixt";"Retail";0;"VW";"Grey";"Sixt Import Rates";"IN";"0.00";"76.21"
"15628";"RES-340780";"SM002-79640";427228;7;"NULL";"United Kingdom";"59";"441.50";"2019";"21/7/2022";20;"23/5/2022";22;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"54657";"2";"MDMR";"MDMR";"0.00";"0.00";"356.05";"Retail Brokers Sixt";"Retail";0;"Skoda";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"18052";"RES-347640";"SM002-76485";433693;7;"NULL";"United Kingdom";"35";"298.83";"2019";"20/6/2022";11;"30/5/2022";18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"52452";"2";"MDMR";"MDMR";"0.00";"0.00";"240.99";"Retail Brokers Sixt";"Retail";0;"Kia";"Blue";"Sixt Import Rates";"IN";"0.00";"0.00"
"46632";"RES-380098";"NULL";468796;14;"Sixt";"France";"29";"0.00";"NULL";"24/9/2022";16;"10/8/2022";12;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"2";"MDMR";"MDMR";"133.98";"0.00";"495.25";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"54246";"RES-396649";"NULL";487726;3;"Sixt";"Germany";"22";"0.00";"NULL";"16/9/2022";16;"16/9/2022";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"812";"CDMR";"CDMR";"0.00";"36.30";"150.51";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"18796";"RES-350236";"NULL";436173;6;"Sixt";"France";"43";"0.00";"NULL";"11/6/2022";12;"4/6/2022";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"701";"ETAR";"ETAR";"0.00";"0.00";"619.42";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"63746";"NULL";"SM002-84331";487301;6;"Walk in";"Slovenia";"33";"0.00";"2021";"15/9/2022";10;"15/9/2022";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"35919";"2";"CDMR";"CDMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Ford";"Grey";"Walk In Rates";"IN";"NULL";"NULL"
"23468";"RES-375053";"SM812-6580";438306;3;"Sixt";"Italy";"40";"243.59";"2019";"12/8/2022";18;"28/7/2022";16;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;"91826";"812";"EDMR";"EDMR";"0.00";"0.00";"208.20";"Corporate-Sixt-Sixt";"Corporate";1;"Opel";"Blue";"Sixt Import Rates";"IN";"0.00";"0.00"
"6979";"RES-364579";"SM503-9542";372467;5;"Sixt";"Germany";"53";"0.00";"2019";"25/9/2022";11;"5/7/2022";19;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"54489";"503";"CCAR";"EDAR";"85.35";"18.14";"502.16";"Retail-Sixt-Sixt";"Retail";2;"Mazda";"Grey";"Sixt Import Rates";"IN";"0.00";"45.77"
"12615";"RES-323690";"SM002-80401";407184;9;"Sixt";"Canada";"53";"0.00";"2017";"30/7/2022";12;"22/3/2022";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"53772";"2";"IFMR";"IFMR";"0.00";"0.00";"1211.14";"Retail Brokers Sixt";"Retail";0;"Dacia";"White";"Sixt Import Rates";"IN";"243.26";"0.00"
"46516";"RES-380130";"SM802-10077";468829;6;"Sixt";"Poland";"40";"0.00";"2019";"12/8/2022";22;"10/8/2022";14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"42261";"802";"EDMR";"EDMR";"0.00";"0.00";"243.21";"Retail-Sixt-Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"130.82";"0.00"
"36747";"RES-355996";"SM312-17749";442304;14;"Sixt";"Germany";"44";"0.00";"2019";"16/7/2022";11;"16/6/2022";21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"35935";"312";"MDMR";"MDMR";"0.00";"0.00";"1068.83";"Retail-Sixt-Sixt";"Retail";1;"Fiat";"White";"Sixt Import Rates";"IN";"183.68";"0.00"
"11565";"RES-313645";"SM3MO-1452";332875;11;"Corporate";"Greece";"60";"1955.00";"2019";"8/7/2022";8;"31/1/2022";14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"42860";"003-MO";"EDMR";"EDMR";"0.00";"0.00";"1576.61";"Retail-Call center-Call center";"Retail";1;"Nissan";"White";"Leaseplan rates";"IN";"0.00";"0.00"
"63706";"NULL";"SM503-8515";480315;4;"Walk in";"Italy";"58";"0.00";"2019";"1/9/2022";22;"1/9/2022";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"33858";"503";"MDMR";"MDMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Peugeot";"White";"Walk In Rates";"IN";"NULL";"NULL"
"12037";"RES-339007";"NULL";425517;4;"Sixt";"Cyprus";"48";"0.00";"NULL";"19/6/2022";9;"23/5/2022";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"503";"CCMR";"CCMR";"0.00";"0.00";"202.55";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"51810";"RES-386469";"SM302-40256";475894;12;"Sixt";"Germany";"22";"0.00";"2019";"13/9/2022";11;"23/8/2022";23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"31282";"302";"MDMR";"MDMR";"0.00";"0.00";"411.47";"Retail-Sixt-Sixt";"Retail";0;"Peugeot";"White";"Sixt Import Rates";"IN";"0.00";"144.44"
"21345";"RES-347962";"NULL";433988;7;"NULL";"France";"NULL";"613.30";"NULL";"17/7/2022";2;"31/5/2022";9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"2";"EDMR";"EDMR";"0.00";"0.00";"494.60";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"53575";"RES-388108";"SM609-15249";477728;7;"Sixt";"Hong Kong";"33";"0.00";"2019";"11/9/2022";14;"28/8/2022";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"39645";"609";"CXMR";"CXMR";"0.00";"0.00";"333.06";"Retail-Sixt-Sixt";"Retail";0;"BMW";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"22153";"RES-345631";"SM503-5284";431542;20;"NULL";"Serbia";"54";"984.78";"2022";"13/6/2022";16;"26/5/2022";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"943";"503";"FFMR";"CDMR";"0.00";"0.00";"794.18";"Retail Brokers Sixt";"Retail";0;"Skoda";"Blue";"Sixt Import Rates";"IN";"0.00";"144.58"
"57559";"RES-394193";"SM002-84057";484747;2;"NULL";"Greece";"37";"0.00";"2022";"12/9/2022";12;"10/9/2022";12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"4779";"2";"CCAR";"MTAE";"0.00";"0.00";"36.78";"Retail-Call center-Call center";"Retail";0;"Mazda";"Grey";"MOTODYNAMCS STAFF";"IN";"0.00";"0.00"
"63666";"NULL";"SM609-15137";483900;4;"Walk in";"Italy";"39";"0.00";"2019";"8/9/2022";14;"8/9/2022";14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"38203";"609";"SVMR";"SVMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"VW";"White";"Walk In Rates";"IN";"NULL";"NULL"
"44732";"RES-377631";"NULL";465872;6;"Sixt";"United States of America";"NULL";"0.00";"NULL";"7/8/2022";9;"4/8/2022";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"2";"SXAR";"SXAR";"0.00";"0.00";"718.93";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"15477";"RES-340062";"SM609-12266";426520;5;"Sixt";"Germany";"40";"0.00";"2019";"15/6/2022";9;"23/5/2022";13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"32280";"609";"MDAR";"MDAR";"17.75";"0.00";"164.33";"Retail-Sixt-Sixt";"Retail";0;"Citroen";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"14015";"RES-312068";"NULL";397067;20;"Sixt";"Blank";"NULL";"0.00";"NULL";"13/6/2022";12;"18/1/2022";19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"NULL";"2";"FFAR";"FFAR";"0.00";"64.50";"2003.01";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"61627";"RES-402272";"SM002-85756";494245;1;"NULL";"Greece";"30";"35.71";"2019";"30/9/2022";0;"29/9/2022";14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"85263";"2";"EDAR";"MDAE";"0.00";"0.00";"28.80";"Retail Brokers Sixt";"Retail";0;"Peugeot";"Grey";"Sixt Import Rates";"IN";"9.84";"0.00"
"60558";"RES-392471";"SM503-9185";482724;8;"Sixt";"Cyprus";"41";"456.93";"2021";"17/9/2022";9;"6/9/2022";10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"34425";"503";"CFMR";"CDMR";"0.00";"0.00";"274.76";"Corporate-Sixt-Sixt";"Corporate";0;"Renault";"Silver";"Sixt Import Rates";"IN";"0.00";"93.73"
"18842";"RES-350297";"SM003-33359";436259;5;"Sixt";"Spain";"44";"0.00";"2018";"29/7/2022";10;"4/6/2022";11;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;"59917";"3";"MDMR";"MDMR";"99.23";"18.06";"540.39";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"3747";"RES-387017";"SM003-34326";273033;1;"Sixt";"Greece";"48";"0.00";"2019";"25/8/2022";14;"25/8/2022";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"63798";"3";"MDMR";"MDMR";"0.00";"0.00";"39.03";"Retail Brokers Sixt";"Retail";0;"Peugeot";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"26751";"RES-360852";"SM302-37996";447630;4;"Sixt";"Italy";"26";"0.00";"2019";"6/8/2022";18;"27/6/2022";22;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"65442";"302";"MDMR";"MDMR";"68.28";"0.00";"441.85";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"44242";"RES-368958";"SM312-18369";456156;7;"Sixt";"Germany";"30";"0.00";"2022";"2/8/2022";17;"13/7/2022";20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"4960";"312";"MDMR";"MDMR";"0.00";"0.00";"320.52";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"Grey";"Sixt Import Rates";"IN";"0.00";"0.00"
"15255";"RES-302090";"SM8MO-118";387512;11;"Corporate";"Greece";"29";"993.55";"2019";"3/7/2022";15;"4/11/2021";14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"61600";"508-MO";"EDMR";"EDMR";"0.00";"0.00";"445.32";"Retail-Call center-Call center";"Retail";6;"Peugeot";"White";"Leaseplan rates";"IN";"0.00";"0.00"
"55691";"RES-391403";"SM712-18955";481430;3;"Sixt";"Serbia";"37";"0.00";"2019";"9/9/2022";22;"4/9/2022";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"23725";"712";"CCMR";"CCMR";"0.00";"0.00";"124.20";"Retail-Sixt-Sixt";"Retail";0;"Renault";"Blue";"Sixt Import Rates";"IN";"33.29";"0.00"
"13893";"RES-341498";"SM302-37687";427831;13;"Sixt";"France";"42";"0.00";"2019";"31/7/2022";15;"24/5/2022";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"42965";"302";"CCAR";"CCMR";"0.00";"0.00";"973.55";"Retail-Sixt-Sixt";"Retail";0;"Mazda";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"63933";"NULL";"SM802-10343";478543;10;"Walk in";"Germany";"32";"0.00";"2019";"29/8/2022";19;"29/8/2022";19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"37515";"802";"EDMR";"EDMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Nissan";"White";"Walk In Rates";"IN";"NULL";"NULL"
"38558";"RES-372645";"SM503-7539";460187;6;"Sixt";"France";"45";"0.00";"2021";"4/8/2022";16;"22/7/2022";16;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;"32203";"503";"CDMR";"EDMR";"0.00";"60.48";"447.00";"Retail-Sixt-Sixt";"Retail";0;"Ford";"Black";"Sixt Import Rates";"IN";"66.92";"0.00"
"67492";"NULL";"SM3MO-1371";78496;30;"Corporate";"Greece";"53";"0.00";"2017";"8/6/2022";19;"29/7/2018";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"90400";"003-MO";"PSAR";"PSAR";"0.00";"0.00";"0.00";"Corporate-Sixt-Sixt";"Corporate";0;"Audi";"Grey";"Corporate 3";"IN";"NULL";"NULL"
"57917";"RES-396940";"SM302-41375";488122;14;"NULL";"France";"54";"283.81";"2022";"30/9/2022";15;"17/9/2022";12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"9973";"302";"IFMR";"EDMR";"0.00";"0.00";"228.88";"Retail Brokers Sixt";"Retail";0;"VW";"Grey";"Sixt Import Rates";"IN";"0.00";"0.00"
"2653";"RES-396875";"SM002-84597";172991;3;"Sixt";"Lebanon";"51";"0.00";"2018";"17/9/2022";21;"17/9/2022";10;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"62425";"2";"CXAR";"EDAR";"58.47";"0.00";"200.18";"Retail-Sixt-Sixt";"Retail";3;"Audi";"Black";"Sixt Import Rates";"IN";"0.00";"60.00"
"61571";"RES-390320";"NULL";480158;7;"Sixt";"Blank";"NULL";"0.00";"NULL";"27/9/2022";13;"1/9/2022";18;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"NULL";"802";"MDMR";"MDMR";"91.84";"0.00";"283.18";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"65072";"NULL";"SM302-37816";465460;8;"Walk in";"Germany";"22";"0.00";"2019";"3/8/2022";10;"3/8/2022";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"54186";"302";"MDMR";"MDMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Peugeot";"White";"Walk In Rates";"IN";"NULL";"NULL"
"287";"RES-351581";"NULL";19478;3;"Sixt";"Germany";"48";"0.00";"NULL";"23/9/2022";13;"7/6/2022";10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"NULL";"721";"MDMR";"MDMR";"10.65";"0.00";"187.46";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"66933";"NULL";"SM721-91";439912;4;"Walk in";"Israel";"41";"0.00";"2019";"12/6/2022";9;"12/6/2022";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"20407";"721";"MDMR";"MDMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Kia";"Blue";"Walk In Rates";"IN";"NULL";"NULL"
"35548";"RES-361508";"NULL";448159;5;"Sixt";"Blank";"NULL";"0.00";"NULL";"5/8/2022";18;"29/6/2022";9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;"NULL";"302";"JFAR";"JFAR";"64.10";"123.44";"1048.64";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"25584";"RES-361645";"SM002-77788";448332;7;"NULL";"United States of America";"52";"736.88";"2019";"1/7/2022";23;"29/6/2022";15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"30590";"2";"SVMR";"SVMR";"0.00";"25.41";"622.97";"Retail Brokers Sixt";"Retail";0;"Opel";"Blue";"Sixt Import Rates";"IN";"0.00";"0.00"
"35040";"RES-355455";"SM503-6221";441734;9;"NULL";"Switzerland";"50";"467.02";"2019";"5/7/2022";15;"15/6/2022";18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"49322";"503";"MDMR";"MDMR";"0.00";"0.00";"376.63";"Retail Brokers Sixt";"Retail";0;"Peugeot";"White";"Sixt Import Rates";"IN";"0.00";"32.66"
"61508";"RES-393698";"SM312-19770";484129;15;"Sixt";"Canada";"58";"0.00";"2017";"12/9/2022";15;"9/9/2022";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"47307";"312";"CFAR";"CFAR";"0.00";"0.00";"1008.31";"Retail Brokers Sixt";"Retail";0;"SSANGYONG";"White";"Sixt Import Rates";"IN";"189.19";"0.00"
"15460";"RES-339916";"SM112-3308";426381;3;"NULL";"United Kingdom";"39";"83.10";"2019";"5/6/2022";14;"23/5/2022";13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"58420";"112";"CCMR";"CCMR";"0.00";"0.00";"67.02";"Retail Brokers Sixt";"Retail";0;"Renault";"Red";"Sixt Import Rates";"IN";"66.94";"0.00"
"12044";"RES-339044";"SM312-16851";425553;7;"Sixt";"Germany";"27";"0.00";"2019";"20/6/2022";20;"23/5/2022";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"58214";"312";"MDMR";"MDMR";"0.00";"0.00";"220.04";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"54474";"RES-378727";"SM721-588";467206;7;"NULL";"Israel";"40";"480.54";"2019";"20/8/2022";12;"6/8/2022";22;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"20765";"721";"EDMR";"EDMR";"0.00";"0.00";"387.53";"Retail Brokers Sixt";"Retail";0;"Citroen";"White";"Sixt Import Rates";"IN";"0.00";"25.28"
"42685";"RES-370278";"SM701-19524";457662;7;"Sixt";"Monaco";"44";"0.00";"2019";"23/7/2022";22;"17/7/2022";12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"62434";"701";"FFAR";"FFAR";"0.00";"25.28";"951.70";"Retail-Sixt-Sixt";"Retail";0;"BMW";"Grey";"Sixt Import Rates";"IN";"0.00";"189.00"
"21276";"RES-341624";"NULL";427917;10;"Sixt";"Blank";"NULL";"0.00";"NULL";"10/6/2022";17;"24/5/2022";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"2";"MDMR";"MDMR";"0.00";"0.00";"386.43";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"58092";"RES-398836";"SM503-9703";490327;1;"Sixt";"Germany";"29";"61.28";"2018";"28/9/2022";18;"21/9/2022";15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"67389";"503";"CXAR";"CDAR";"0.00";"0.00";"49.42";"Corporate-Sixt-Sixt";"Corporate";0;"Audi";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
