"";"Res.no";"Agr..no";"Driver.ID";"Days";"Agent.group";"Driver.Country_Disp";"Driver.Age";"Pre.paid.Amount";"First.Licence.Year";"Check.out.Date";"Check.out.Time";"Booking.Date";"Booking.Time";"AD";"B";"BC";"BE";"BF";"BO";"BR";"BS";"CS";"DI";"FDW";"LD";"NV";"PAI";"SC";"SS";"SUB";"TF";"TG";"UPS";"Upgra";"C.O.Mileage";"Check.out.Station";"Group";"Charged.group";"Internet.Insurance.Net.Revenue";"Internet.Non.Insurance.Net.Revenue";"Rental_Cost_Res";"Sales.Channel.2";"Segment";"Past.Rentals.Entry";"Manufacturer";"Color";"Rate.title";"Status";"OnDesk.Insurance.Net.Revenue";"OnDesk.Non.Insurance.Net.Revenue"
"57898";"RES-396594";"SM503-9567";487647;6;"Sixt";"Czech Republic";"37";"0.00";"2019";"25/9/2022";23;"16/9/2022";0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;"59392";"503";"CCMR";"CCMR";"88.08";"21.78";"279.37";"Retail-Sixt-Sixt";"Retail";0;"Renault";"Red";"Sixt Import Rates";"IN";"0.00";"0.00"
"28874";"RES-362560";"NULL";449295;10;"NULL";"Italy";"NULL";"459.26";"NULL";"4/8/2022";23;"1/7/2022";20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"302";"CDAR";"CDAR";"0.00";"0.00";"370.37";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"63685";"NULL";"SM701-21727";487519;3;"Walk in";"Romania";"28";"0.00";"2019";"15/9/2022";18;"15/9/2022";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"58924";"701";"EDMR";"EDMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Nissan";"White";"Walk In Rates";"IN";"NULL";"NULL"
"50137";"RES-383160";"NULL";472237;9;"Sixt";"Blank";"NULL";"0.00";"NULL";"18/8/2022";10;"16/8/2022";21;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"611";"MDMR";"MDMR";"86.13";"0.00";"473.42";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"56044";"RES-398324";"SM503-9543";489773;11;"Sixt";"United Kingdom";"41";"0.00";"2022";"25/9/2022";12;"20/9/2022";12;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;"9902";"503";"FFAR";"FFAR";"0.00";"39.93";"336.51";"Retail Brokers Sixt";"Retail";0;"Audi";"Grey";"Sixt Import Rates";"IN";"0.00";"118.74"
"19525";"RES-349457";"NULL";435412;4;"NULL";"Greece";"NULL";"140.70";"NULL";"10/6/2022";16;"2/6/2022";14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"503";"MDMR";"MDMR";"0.00";"0.00";"113.47";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"45160";"RES-375998";"SM701-20181";464034;4;"Online Broker";"Israel";"53";"452.50";"2021";"8/8/2022";18;"31/7/2022";10;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"7557";"701";"EXMR";"CDMR";"22.60";"0.00";"364.92";"Retail Brokers Sixt";"Retail";0;"Audi";"Grey";"Sixt Import Rates";"IN";"0.00";"0.00"
"26004";"RES-359046";"NULL";445612;7;"Online Broker";"Blank";"NULL";"613.09";"NULL";"10/7/2022";10;"23/6/2022";11;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"503";"CCAR";"CCAR";"33.88";"0.00";"684.11";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"43456";"RES-370237";"NULL";457609;8;"Sixt";"Spain";"46";"0.00";"NULL";"6/9/2022";15;"17/7/2022";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"2";"EDMR";"EDMR";"0.00";"0.00";"389.54";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"58210";"RES-397039";"SM002-85620";488212;6;"Sixt";"Germany";"52";"275.01";"2019";"28/9/2022";17;"17/9/2022";12;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"86734";"2";"CCMR";"EDMR";"93.24";"0.00";"221.79";"Retail-Sixt-Sixt";"Retail";0;"Renault";"Blue";"Sixt Import Rates";"IN";"0.00";"0.00"
"44899";"RES-377388";"NULL";465647;3;"NULL";"Israel";"NULL";"335.79";"NULL";"4/8/2022";16;"3/8/2022";16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"609";"MTMR";"MTMR";"0.00";"0.00";"270.80";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
